1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0.484968 0.273602 0.169218 0.109658 0.072407 0.0479355 0.0315136 0.0204451 0.0130233 0.0080956 0.0048491 0.00269594 0.00119569 0
1 0.666651 0.440947 0.294612 0.198191 0.133306 0.0890853 0.0588566 0.0382857 0.0244241 0.0151949 0.00910603 0.00506383 0.00224628 0
1 0.741406 0.530285 0.37197 0.257413 0.175926 0.118622 0.0787617 0.0513783 0.0328283 0.0204425 0.0122571 0.00681833 0.00302494 0
1 0.769653 0.568651 0.408102 0.286563 0.197582 0.133915 0.089184 0.0582777 0.0372744 0.0232244 0.01393 0.00775033 0.00343882 0
1 0.769653 0.568651 0.408102 0.286563 0.197582 0.133915 0.089184 0.0582777 0.0372744 0.0232244 0.01393 0.00775033 0.00343882 0
1 0.741406 0.530285 0.37197 0.257413 0.175926 0.118622 0.0787617 0.0513783 0.0328283 0.0204425 0.0122571 0.00681833 0.00302494 0
1 0.666651 0.440947 0.294612 0.198191 0.133306 0.0890853 0.0588566 0.0382857 0.0244241 0.0151949 0.00910603 0.00506383 0.00224628 0
1 0.484968 0.273602 0.169218 0.109658 0.072407 0.0479355 0.0315136 0.0204451 0.0130233 0.0080956 0.0048491 0.00269594 0.00119569 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
